Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Friday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/01
 2,Saturday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/02
 3,Sunday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/03
 4,Monday,Parliamentary sitting day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/04
 5,Tuesday,Parliamentary sitting day,True,Virtual sitting day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/05
 6,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/06
 7,Thursday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/07
 8,Friday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/08
 9,Saturday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/09
10,Sunday,Adjournment day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/10
11,Monday,Parliamentary sitting day,True,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/11
12,Tuesday,Parliamentary sitting day,True,Virtual sitting day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/12
13,Wednesday,Parliamentary sitting day,True,Virtual sitting day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/13
14,Thursday,Adjournment day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/14
15,Friday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/15
16,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/16
17,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/17
18,Monday,Parliamentary sitting day,True,Virtual sitting day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/18
19,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2020/05/19
20,Wednesday,Parliamentary sitting day,True,Virtual sitting day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/20
21,Thursday,Adjournment day (Whitsun recess),False,Virtual sitting day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/21
22,Friday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/22
23,Saturday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/23
24,Sunday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/24
25,Monday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/25
26,Tuesday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/26
27,Wednesday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/27
28,Thursday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/28
29,Friday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/29
30,Saturday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/30
31,Sunday,Adjournment day (Whitsun recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2020/05/31
