Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/01
 2,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/02
 3,Friday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/03
 4,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/04
 5,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/05
 6,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/06
 7,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/07
 8,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/08
 9,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/09
10,Friday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/10
11,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/11
12,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/12
13,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/13
14,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/14
15,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/15
16,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/16
17,Friday,Adjournment day (Summer recess),False,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/17
18,Saturday,Adjournment day (Summer recess),False,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/18
19,Sunday,Adjournment day (Summer recess),False,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/19
20,Monday,Adjournment day (Summer recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/20
21,Tuesday,Adjournment day (Summer recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/21
22,Wednesday,Adjournment day (Summer recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/22
23,Thursday,Adjournment day (Summer recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2026/07/23
24,Friday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/24
25,Saturday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/25
26,Sunday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/26
27,Monday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/27
28,Tuesday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/28
29,Wednesday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/29
30,Thursday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/30
31,Friday,Adjournment day (Summer recess),False,Adjournment day (Summer recess ),False,https://api.parliament.uk/egg-timer/calendar/2026/07/31
